Usia,Jenis Kelamin,Pekerjaan,Penghasilan Tiap Bulan,Seberapa sering Anda melakukan pembelian dalam satu bulan?,Apa motivasi Anda dalam melakukan transaksi pembelian?,Fitur Shopee Games apa saja yang Anda gunakan?,Menggunakan Shopee Games untuk berbelanja sangat menguntungkan.,Menggunakan Shopee Games untuk berbelanja adalah pilihan yang tepat.,Saya menyukai ide bermain Shopee Games untuk berbelanja.,Saya selalu menggunakan hadiah dari Shopee Games untuk berbelanja.,Saya akan kembali menggunakan Shopee untuk berbelanja.,Saya akan menggunakan Shopee Games untuk berbelanja di Shopee.,Saya akan berbelanja di Shopee dalam 3 bulan ke depan.,Saya melakukan pembelian karena promosi yang ditawarkan Shopee menarik.,Saya merasa fitur Shopee Games dapat dipercaya.,Fitur Shopee Games dikenal banyak orang.,Fitur Shopee Games menawarkan berbagai macam hadiah yang sesuai dengan kebutuhan saya.,Hadiah yang saya dapatkan dari fitur Shopee Games sesuai harapan saya.
>40,Pria,Pegawai Swasta,> Rp10.000.000,>3,Barang bervariasi dan beragam,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",4,3,2,4,5,3,5,5,4,4,3,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",3,3,2,1,5,3,4,5,3,5,2,1
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",5,5,5,3,5,5,5,5,4,5,5,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Occasional,Reward Koin Shopee,3,3,3,1,4,2,4,5,4,3,1,1
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,>3,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Reward Koin Shopee",3,3,4,2,5,3,5,4,3,3,3,2
26-40,Pria,Pegawai Swasta,Rp2.000.000 - Rp5.000.000,3-Jan,Kebutuhan Rutin/Bulanan,Reward Koin Shopee,3,3,5,4,5,3,5,5,3,4,3,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee, Shopee candy, trs yg pisau pisauan ituloooo",4,3,3,2,5,5,5,2,2,4,2,1
18-25,Wanita,Pelajar,Rp5.000.000 - Rp10.000.000,>3,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",3,4,4,4,5,3,5,5,5,5,3,2
18-25,Wanita,Tidak Bekerja,Rp0 - Rp2.000.000,3-Jan,Hobi,Shopee Tanam,3,3,3,3,5,3,5,5,5,5,5,5
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee, arisan, candy",2,2,2,1,4,2,5,4,3,4,1,1
